gene	logFC	pval	significant	color
MSTRG.1.1	-4.22666510593294	487.835118925952	Significativo	blue
MSTRG.2.1	-2.57661908524444	473.975593366567	Significativo	blue
MSTRG.3.1	-0.338913127064317	8.35439387374952	No significativo	#b3aaaa
MSTRG.4.1	-0.0749812898143157	2.06266007608077	No significativo	#b3aaaa
MSTRG.5.1	0.555230909632322	70.2438864507123	No significativo	#b3aaaa
MSTRG.6.1	-0.334339573088204	3.85804024347832	No significativo	#b3aaaa
MSTRG.7.1	0.80899321590753	14.723184142195	No significativo	#b3aaaa
MSTRG.8.1	0.324656234814898	14.8824706991554	No significativo	#b3aaaa
MSTRG.9.1	0.490699188551537	19.2684578821922	No significativo	#b3aaaa
MSTRG.10.1	-0.0417638585832587	0.459767580447456	No significativo	#b3aaaa
MSTRG.11.1	0.922204406977686	42.4730620106251	No significativo	#b3aaaa
MSTRG.12.1	0.780063698923741	123.412857258421	No significativo	#b3aaaa
MSTRG.13.1	-0.833659001857572	37.2034326198645	No significativo	#b3aaaa
MSTRG.14.1	0.200521872398643	7.24910462816436	No significativo	#b3aaaa
MSTRG.15.1	-2.12896250613191	228.575312883338	Significativo	blue
MSTRG.16.1	0.720876169743428	75.4349982856052	No significativo	#b3aaaa
MSTRG.17.1	-0.213218483336366	2.32383404397462	No significativo	#b3aaaa
MSTRG.17.2	-0.277552648191116	0.336370774442445	No significativo	#b3aaaa
MSTRG.18.1	0.314242949744443	32.8754966713271	No significativo	#b3aaaa
MSTRG.19.1	0.246799782757087	3.95151864150318	No significativo	#b3aaaa
MSTRG.20.1	0.89595099945355	126.026140514578	No significativo	#b3aaaa
MSTRG.21.1	-0.903371577360978	111.497623289418	No significativo	#b3aaaa
MSTRG.22.1	-1.0400846684183	9.0843330155555	Significativo	blue
MSTRG.23.1	-0.412394966670927	1.1470320052759	No significativo	#b3aaaa
MSTRG.24.1	0.354519649208992	0.493484398206733	No significativo	#b3aaaa
MSTRG.25.1	-1.16478144259	2.7522619095488	No significativo	#b3aaaa
MSTRG.26.1	0.415181448470286	0.697474223801761	No significativo	#b3aaaa
MSTRG.27.1	-0.764462201605594	46.0124411675118	No significativo	#b3aaaa
MSTRG.28.1	0.528102277812175	1.03704608339727	No significativo	#b3aaaa
